"phase","Taxon","order","over","Plant.Symbol","Plant.Type","Nativity","Cover.Low","Cover.High","Canopy.Bottom","Canopy.Top","Diam.Low","Diam.High","BA.Low","BA.High"
"01drained swamp","Ulmus americana",1,25.0973371119725,"ULAM","Tree","Native",0,10,10,25,,,1.5,10
"01drained swamp","Ulmus americana",1,25.0973371119725,"ULAM","Tree","Native",5,50,5,15,,,,
"01drained swamp","Acer rubrum",1,16.4121356331971,"ACRU","Tree","Native",0,30,10,25,,,0,4
"01drained swamp","Acer rubrum",1,16.4121356331971,"ACRU","Tree","Native",0,10,5,15,,,,
"01drained swamp","Tilia americana",1,15.0662551019628,"TIAM","Tree","Native",0,15,10,25,,,0,0.5
"01drained swamp","Tilia americana",1,15.0662551019628,"TIAM","Tree","Native",0,10,5,15,,,,
"01drained swamp","Quercus palustris",1,14.98556443007,"QUPA2","Tree","Native",3,30,10,25,,,0.3,1.5
"01drained swamp","Celtis occidentalis",1,14.77128085862,"CEOC","Tree","Native",1.5,40,5,15,,,,
"01drained swamp","Acer saccharinum",1,10.3797539753111,"ACSA2","Tree","Native",1,25,10,25,,,0.5,5
"01drained swamp","Acer saccharinum",1,10.3797539753111,"ACSA2","Tree","Native",0,2,5,15,,,,
"01drained swamp","Quercus bicolor",1,9.30245997027851,"QUBI","Tree","Native",0,10,10,25,,,0.3,1.5
"01drained swamp","Quercus bicolor",1,9.30245997027851,"QUBI","Tree","Native",1.5,10,5,15,,,,
"01drained swamp","Acer negundo",1,7.25707028643999,"ACNE2","Tree","Native",1.5,15,5,15,,,,
"01drained swamp","Populus deltoides",1,3.2856814289,"PODE3","Tree","Native",0,5,10,25,,,0,0.5
"01drained swamp","Morus alba",1,3.09996900031,"MOAL","Tree","Introduced",0,5,5,15,,,,
"01drained swamp","Liriodendron tulipifera",1,2.19997800021999,"LITU","Tree","Native",0,3,10,25,,,0,0.5
"01drained swamp","Sassafras albidum",1,2.19997800021999,"SAAL5","Tree","Native",0,3,10,25,,,0,0.5
"01drained swamp","Prunus serotina",1,1.80646772760765,"PRSE2","Tree","Native",0,4,10,25,,,0.3,1.5
"01drained swamp","Prunus serotina",1,1.80646772760765,"PRSE2","Tree","Native",0,2,5,15,,,,
"01drained swamp","Populus grandidentata",1,1.11427457154,"POGR4","Tree","Native",0,1.5,10,25,,,0,0.5
"01drained swamp","Quercus velutina",1,1.11427457154,"QUVE","Tree","Native",0,1.5,10,25,,,,
"01drained swamp","Salix nigra",1,0.0285711428600011,"SANI","Tree","Native",0,0,10,25,,,,
"01drained swamp","Vitis aestivalis",4,1.11427457154,"VIAE","Vine/Liana","Native",0,1.5,5,20,,,,
"01drained swamp","Vitis riparia",4,0.771420857219995,"VIRI","Vine/Liana","Native",0.1,2,2,15,,,,
"01drained swamp","Parthenocissus quinquefolia",4,0.0571422857200021,"PAQU2","Vine/Liana","Native",0,0.2,2,15,,,,
"02silver maple green ash swamp","Acer saccharinum",1,42.4154150650082,"ACSA2","Tree","Native",5,95,10,25,,,2,30
"02silver maple green ash swamp","Acer saccharinum",1,42.4154150650082,"ACSA2","Tree","Native",0,10,5,15,,,,
"02silver maple green ash swamp","Fraxinus pennsylvanica",1,13.278438644185,"FRPE","Tree","Native",0,60,10,25,,,1,2
"02silver maple green ash swamp","Salix nigra",1,7.18375521193249,"SANI","Tree","Native",0,15,10,25,,,,
"02silver maple green ash swamp","Salix nigra",1,7.18375521193249,"SANI","Tree","Native",0,2,5,15,,,,
"02silver maple green ash swamp","Quercus palustris",1,5.4964506826816,"QUPA2","Tree","Native",0,15,10,25,,,0,1.5
"02silver maple green ash swamp","Quercus palustris",1,5.4964506826816,"QUPA2","Tree","Native",0,0.2,5,15,,,,
"02silver maple green ash swamp","Quercus bicolor",1,3.39996600033999,"QUBI","Tree","Native",0,10,10,25,,,0,1.5
"02silver maple green ash swamp","Ulmus americana",1,2.44242470228211,"ULAM","Tree","Native",0,4,10,25,,,0.3,3
"02silver maple green ash swamp","Ulmus americana",1,2.44242470228211,"ULAM","Tree","Native",0,4,5,15,,,,
"02silver maple green ash swamp","Prunus serotina",1,0.821420357225,"PRSE2","Tree","Native",0,2,5,15,,,,
"02silver maple green ash swamp","Juglans nigra",1,0.784165132945458,"JUNI","Tree","Native",0,1,10,25,,,0,1
"02silver maple green ash swamp","Juglans nigra",1,0.784165132945458,"JUNI","Tree","Native",0,1,5,15,,,,
"02silver maple green ash swamp","Fagus grandifolia",1,0.449995500044997,"FAGR","Tree","Native",0,0.5,5,15,,,,
"02silver maple green ash swamp","Viburnum lentago",1,0.149998500015003,"VILE","Tree","Native",0,0.2,5,5,,,,
"02silver maple green ash swamp","Tilia americana",1,0.0928562142950007,"TIAM","Tree","Native",0,0.1,5,15,,,,
"02silver maple green ash swamp","Fraxinus nigra",1,0.0714278571499971,"FRNI","Tree","Native",0,0.1,10,20,,,,
"02silver maple green ash swamp","Acer rubrum",1,0.014285571429995,"ACRU","Tree","Native",0,0,10,25,,,,
"02silver maple green ash swamp","Betula alleghaniensis",1,0.014285571429995,"BEAL2","Tree","Native",0,0,10,25,,,,
"02silver maple green ash swamp","Zanthoxylum americanum",3,0.749992500075003,"ZAAM","Shrub/Subshrub","Native",0,1,2,10,,,,
"02silver maple green ash swamp","Parthenocissus quinquefolia",4,0.014285571429995,"PAQU2","Vine/Liana","Native",0,0,2,15,,,,
"02silver maple green ash swamp","Vitis riparia",4,0.014285571429995,"VIRI","Vine/Liana","Native",0,0,2,15,,,,
"04tamarack","Acer rubrum",1,19.662862729668,"ACRU","Tree","Native",0,3,10,25,,,2,2
"04tamarack","Acer rubrum",1,19.662862729668,"ACRU","Tree","Native",1,35,5,15,,,,
"04tamarack","Larix laricina",1,5.58385209739967,"LALA","Tree","Native",0.1,3,10,20,,,2,5
"04tamarack","Larix laricina",1,5.58385209739967,"LALA","Tree","Native",0.5,15,5,15,,,,
"04tamarack","Pinus strobus",1,4.15361957163766,"PIST","Tree","Native",0,10,10,25,,,,
"04tamarack","Pinus strobus",1,4.15361957163766,"PIST","Tree","Native",0,0.5,5,15,,,,
"04tamarack","Fraxinus nigra",1,2.89415814432548,"FRNI","Tree","Native",0,3,10,20,,,,
"04tamarack","Fraxinus nigra",1,2.89415814432548,"FRNI","Tree","Native",0,5,5,15,,,,
"04tamarack","Betula alleghaniensis",1,2.65962633498512,"BEAL2","Tree","Native",0,3,10,25,,,1,2
"04tamarack","Betula alleghaniensis",1,2.65962633498512,"BEAL2","Tree","Native",0.5,4,5,15,,,,
"04tamarack","Ulmus americana",1,1.91664750019166,"ULAM","Tree","Native",0,5,5,15,,,,
"04tamarack","Quercus bicolor",1,1.24651534734618,"QUBI","Tree","Native",0,3,10,25,,,,
"04tamarack","Quercus bicolor",1,1.24651534734618,"QUBI","Tree","Native",0,1.5,5,15,,,,
"04tamarack","Populus tremuloides",1,0.666660000066666,"POTR5","Tree","Native",0,1,5,10,,,,
"04tamarack","Ulmus rubra",1,0.499995000050002,"ULRU","Tree","Native",0,0.5,10,25,,,,
"04tamarack","Fraxinus pennsylvanica",1,0.457912091712376,"FRPE","Tree","Native",0,1,10,25,,,,
"04tamarack","Fraxinus pennsylvanica",1,0.457912091712376,"FRPE","Tree","Native",0,0.4,5,15,,,,
"04tamarack","Quercus rubra",1,0.252497475025248,"QURU","Tree","Native",0,1,5,15,,,,
"04tamarack","Carpinus caroliniana",1,0.208331250020832,"CACA18","Tree","Native",0,0.5,5,15,,,,
"04tamarack","Tilia americana",1,0.166665000016664,"TIAM","Tree","Native",0,0.2,10,25,,,,
"04tamarack","Fagus grandifolia",1,0.0833325000083374,"FAGR","Tree","Native",0,0.1,5,15,,,,
"04tamarack","Acer saccharinum",1,0.0333330000033327,"ACSA2","Tree","Native",0,0.1,10,25,,,,
"04tamarack","Populus deltoides",1,0.0333330000033327,"PODE3","Tree","Native",0,0.1,10,25,,,,
"04tamarack","Vitis riparia",4,0.0416662500041687,"VIRI","Vine/Liana","Native",0,0.1,2,15,,,,
"04tamarack","Parthenocissus quinquefolia",4,0.0337496625033795,"PAQU2","Vine/Liana","Native",0,0.1,2,15,,,,
"05red maple dogwood lake sedge swamp","Acer saccharinum",1,5.22972340500893,"ACSA2","Tree","Native",0,4,2,20,25,35,0,3
"05red maple dogwood lake sedge swamp","Acer saccharinum",1,5.22972340500893,"ACSA2","Tree","Native",0,4,5,15,,,,
"05red maple dogwood lake sedge swamp","Populus tremuloides",1,4.9999500005,"POTR5","Tree","Native",0,10,5,15,,,,
"05red maple dogwood lake sedge swamp","Acer rubrum",1,2.44997550024499,"ACRU","Tree","Native",0,4,5,15,,,,
"05red maple dogwood lake sedge swamp","Fraxinus nigra",1,0.874991250087498,"FRNI","Tree","Native",0,1.5,5,15,,,,
"05red maple dogwood lake sedge swamp","Quercus bicolor",1,0.1749982500175,"QUBI","Tree","Native",0,0.4,10,25,,,,
"05red maple dogwood lake sedge swamp","Betula alleghaniensis",1,0.0499995000050046,"BEAL2","Tree","Native",0,0.1,10,25,,,,
"05red maple dogwood lake sedge swamp","Viburnum lentago",1,0.0249997500024968,"VILE","Tree","Native",0,0,5,15,,,,
"05red maple dogwood lake sedge swamp","Toxicodendron vernix",3,0.1749982500175,"TOVE","Shrub/Subshrub","Native",0,0.3,2,10,,,,
"07marsh","Larix laricina",1,2.54997450025499,"LALA","Tree","Native",0.4,5,10,20,,,,
"07marsh","Liriodendron tulipifera",1,0.0249997500024968,"LITU","Tree","Native",0,0,10,25,,,,
"07marsh","Tilia americana",1,0.0249997500024968,"TIAM","Tree","Native",0,0,10,25,,,,
"08wet meadow","Populus deltoides",1,1.24998750012499,"PODE3","Tree","Native",0,2,10,25,,,,
"08wet meadow","Populus tremuloides",1,1.24998750012499,"POTR5","Tree","Native",0,2,10,25,,,,
"08wet meadow","Acer saccharinum",1,0.249997500025001,"ACSA2","Tree","Native",0,0.4,10,25,,,,
"08wet meadow","Fraxinus nigra",1,0.0499995000050046,"FRNI","Tree","Native",0,0.1,10,20,,,,
"08wet meadow","Salix",3,0.499995000050002,"SALIX","Shrub/Subshrub","Unknown",0.1,1.5,5,20,,,,
"09reed canary grass","Fraxinus pennsylvanica",1,0.318746812531878,"FRPE","Tree","Native",0,0.5,5,15,,,,
